ID;City;Companion#group;Year
777967;Hà Nội;Friends;2019
778086;Hà Nội;Friends;2019
778115;Hà Nội;Friends;2019
778119;Hà Nội;Friends;2019
778557;Hà Nội;Friends;2019
778745;Hà Nội;Friends;2019
779000;Hà Nội;Friends;2019
779002;Hà Nội;Friends;2019
779711;Hà Nội;Friends;2019
779863;Hà Nội;Friends;2019
780275;Hà Nội;Friends;2019
780377;Hà Nội;Friends;2019
780422;Hà Nội;Friends;2019
780448;Hà Nội;Friends;2019
780545;Hà Nội;Friends;2019
780604;Hà Nội;Friends;2019
780830;Hà Nội;Friends;2019
780835;Hà Nội;Friends;2019
781027;Hà Nội;Friends;2019
781095;Hà Nội;Friends;2019
781110;Hà Nội;Friends;2019
781111;Hà Nội;Friends;2019
781145;Hà Nội;Friends;2019
781266;Hà Nội;Friends;2019
781296;Hà Nội;Friends;2019
781338;Hà Nội;Friends;2019
781344;Hà Nội;Friends;2019
781673;Hà Nội;Friends;2019
781720;Hà Nội;Friends;2019
781753;Hà Nội;Friends;2019
781761;Hà Nội;Friends;2019
781899;Hà Nội;Friends;2019
781969;Hà Nội;Friends;2019
782223;Hà Nội;Friends;2019
782267;Hà Nội;Friends;2019
782281;Hà Nội;Friends;2019
782322;Hà Nội;Friends;2019
782431;Hà Nội;Friends;2019
782475;Hà Nội;Friends;2019
783057;Hà Nội;Friends;2019
783062;Hà Nội;Friends;2019
783177;Hà Nội;Friends;2019
783233;Hà Nội;Friends;2019
783281;Hà Nội;Friends;2019
783322;Hà Nội;Friends;2019
783344;Hà Nội;Friends;2019
783382;Hà Nội;Friends;2019
783412;Hà Nội;Friends;2019
783442;Hà Nội;Friends;2019
783509;Hà Nội;Friends;2019
783544;Hà Nội;Friends;2019
783614;Hà Nội;Friends;2019
783618;Hà Nội;Friends;2019
783665;Hà Nội;Friends;2019
783728;Hà Nội;Friends;2019
783867;Hà Nội;Friends;2019
784021;Hà Nội;Friends;2019
784035;Hà Nội;Friends;2019
784172;Hà Nội;Friends;2019
784316;Hà Nội;Friends;2019
784332;Hà Nội;Friends;2019
784366;Hà Nội;Friends;2019
784403;Hà Nội;Friends;2019
784445;Hà Nội;Friends;2019
784503;Hà Nội;Friends;2019
784954;Hà Nội;Friends;2019
785351;Hà Nội;Friends;2019
785479;Hà Nội;Friends;2019
785671;Hà Nội;Friends;2019
785740;Hà Nội;Friends;2019
786004;Hà Nội;Friends;2019
786173;Hà Nội;Friends;2019
786307;Hà Nội;Friends;2019
786373;Hà Nội;Friends;2019
786374;Hà Nội;Friends;2019
786408;Hà Nội;Friends;2019
786472;Hà Nội;Friends;2019
786479;Hà Nội;Friends;2019
786563;Hà Nội;Friends;2019
786613;Hà Nội;Friends;2019
786733;Hà Nội;Friends;2019
786804;Hà Nội;Friends;2019
786870;Hà Nội;Friends;2019
786912;Hà Nội;Friends;2019
786922;Hà Nội;Friends;2019
786936;Hà Nội;Friends;2019
786952;Hà Nội;Friends;2019
786990;Hà Nội;Friends;2019
787127;Hà Nội;Friends;2019
787135;Hà Nội;Friends;2019
787218;Hà Nội;Friends;2019
787289;Hà Nội;Friends;2019
787315;Hà Nội;Friends;2019
787564;Hà Nội;Friends;2019
787815;Hà Nội;Friends;2019
787887;Hà Nội;Friends;2019
787910;Hà Nội;Friends;2019
788019;Hà Nội;Friends;2019
788487;Hà Nội;Friends;2019
788645;Hà Nội;Friends;2019
788908;Hà Nội;Friends;2019
788918;Hà Nội;Friends;2019
788931;Hà Nội;Friends;2019
789261;Hà Nội;Friends;2019
789295;Hà Nội;Friends;2019
789380;Hà Nội;Friends;2019
789386;Hà Nội;Friends;2019
789440;Hà Nội;Friends;2019
789441;Hà Nội;Friends;2019
789566;Hà Nội;Friends;2019
789578;Hà Nội;Friends;2019
789623;Hà Nội;Friends;2019
789625;Hà Nội;Friends;2019
789631;Hà Nội;Friends;2019
789711;Hà Nội;Friends;2019
789742;Hà Nội;Friends;2019
789761;Hà Nội;Friends;2019
789765;Hà Nội;Friends;2019
789789;Hà Nội;Friends;2019
789857;Hà Nội;Friends;2019
789917;Hà Nội;Friends;2019
789999;Hà Nội;Friends;2019
790008;Hà Nội;Friends;2019
790075;Hà Nội;Friends;2019
790088;Hà Nội;Friends;2019
790187;Hà Nội;Friends;2019
790234;Hà Nội;Friends;2019
790326;Hà Nội;Friends;2019
790336;Hà Nội;Friends;2019
790347;Hà Nội;Friends;2019
790366;Hà Nội;Friends;2019
790494;Hà Nội;Friends;2019
790619;Hà Nội;Friends;2019
790676;Hà Nội;Friends;2019
790898;Hà Nội;Friends;2019
790904;Hà Nội;Friends;2019
791725;Hà Nội;Friends;2019
791730;Hà Nội;Friends;2019
791737;Hà Nội;Friends;2019
791779;Hà Nội;Friends;2019
791788;Hà Nội;Friends;2019
791962;Hà Nội;Friends;2019
792019;Hà Nội;Friends;2019
792023;Hà Nội;Friends;2019
792058;Hà Nội;Friends;2019
792060;Hà Nội;Friends;2019
792069;Hà Nội;Friends;2019
792139;Hà Nội;Friends;2019
792146;Hà Nội;Friends;2019
792291;Hà Nội;Friends;2019
792540;Hà Nội;Friends;2019
792575;Hà Nội;Friends;2019
792588;Hà Nội;Friends;2019
792590;Hà Nội;Friends;2019
792654;Hà Nội;Friends;2019
792655;Hà Nội;Friends;2019
792660;Hà Nội;Friends;2019
792726;Hà Nội;Friends;2019
792750;Hà Nội;Friends;2019
792770;Hà Nội;Friends;2019
792772;Hà Nội;Friends;2019
792777;Hà Nội;Friends;2019
792780;Hà Nội;Friends;2019
792784;Hà Nội;Friends;2019
792789;Hà Nội;Friends;2019
792790;Hà Nội;Friends;2019
792844;Hà Nội;Friends;2019
792860;Hà Nội;Friends;2019
792866;Hà Nội;Friends;2019
792912;Hà Nội;Friends;2019
792914;Hà Nội;Friends;2019
792916;Hà Nội;Friends;2019
792922;Hà Nội;Friends;2019
792924;Hà Nội;Friends;2019
792930;Hà Nội;Friends;2019
792955;Hà Nội;Friends;2019
792963;Hà Nội;Friends;2019
793005;Hà Nội;Friends;2019
793043;Hà Nội;Friends;2019
793129;Hà Nội;Friends;2019
793136;Hà Nội;Friends;2019
793209;Hà Nội;Friends;2019
793388;Hà Nội;Friends;2019
793394;Hà Nội;Friends;2019
793461;Hà Nội;Friends;2019
793545;Hà Nội;Friends;2019
794171;Hà Nội;Friends;2019
794175;Hà Nội;Friends;2019
794177;Hà Nội;Friends;2019
794179;Hà Nội;Friends;2019
794347;Hà Nội;Friends;2019
794505;Hà Nội;Friends;2019
794511;Hà Nội;Friends;2019
794521;Hà Nội;Friends;2019
794560;Hà Nội;Friends;2019
794595;Hà Nội;Friends;2019
794599;Hà Nội;Friends;2019
794606;Hà Nội;Friends;2019
794718;Hà Nội;Friends;2019
794784;Hà Nội;Friends;2019
794818;Hà Nội;Friends;2019
794824;Hà Nội;Friends;2019
794862;Hà Nội;Friends;2019
795043;Hà Nội;Friends;2019
795105;Hà Nội;Friends;2019
795193;Hà Nội;Friends;2019
795238;Hà Nội;Friends;2019
795282;Hà Nội;Friends;2019
795337;Hà Nội;Friends;2019
795342;Hà Nội;Friends;2019
795365;Hà Nội;Friends;2019
795376;Hà Nội;Friends;2019
795472;Hà Nội;Friends;2019
795482;Hà Nội;Friends;2019
795553;Hà Nội;Friends;2019
795580;Hà Nội;Friends;2019
795734;Hà Nội;Friends;2019
795745;Hà Nội;Friends;2019
795752;Hà Nội;Friends;2019
795921;Hà Nội;Friends;2019
795958;Hà Nội;Friends;2019
796259;Hà Nội;Friends;2019
796405;Hà Nội;Friends;2019
796412;Hà Nội;Friends;2019
796909;Hà Nội;Friends;2019
796914;Hà Nội;Friends;2019
796921;Hà Nội;Friends;2019
796924;Hà Nội;Friends;2019
796944;Hà Nội;Friends;2019
797192;Hà Nội;Friends;2019
797231;Hà Nội;Friends;2019
797233;Hà Nội;Friends;2019
797241;Hà Nội;Friends;2019
797269;Hà Nội;Friends;2019
797348;Hà Nội;Friends;2019
797467;Hà Nội;Friends;2019
797512;Hà Nội;Friends;2019
797515;Hà Nội;Friends;2019
797671;Hà Nội;Friends;2019
797839;Hà Nội;Friends;2019
797875;Hà Nội;Friends;2019
797893;Hà Nội;Friends;2019
797912;Hà Nội;Friends;2019
797933;Hà Nội;Friends;2019
797953;Hà Nội;Friends;2019
798003;Hà Nội;Friends;2019
798046;Hà Nội;Friends;2019
798079;Hà Nội;Friends;2019
798114;Hà Nội;Friends;2019
798117;Hà Nội;Friends;2019
798210;Hà Nội;Friends;2019
798285;Hà Nội;Friends;2019
798535;Hà Nội;Friends;2019
798903;Hà Nội;Friends;2019
799034;Hà Nội;Friends;2019
799418;Hà Nội;Friends;2019
799521;Hà Nội;Friends;2019
799614;Hà Nội;Friends;2019
799630;Hà Nội;Friends;2019
799734;Hà Nội;Friends;2019
799869;Hà Nội;Friends;2019
799972;Hà Nội;Friends;2019
799979;Hà Nội;Friends;2019
800056;Hà Nội;Friends;2019
800091;Hà Nội;Friends;2019
800095;Hà Nội;Friends;2019
800111;Hà Nội;Friends;2019
800181;Hà Nội;Friends;2019
800216;Hà Nội;Friends;2019
800220;Hà Nội;Friends;2019
800472;Hà Nội;Friends;2019
800622;Hà Nội;Friends;2019
800664;Hà Nội;Friends;2019
800671;Hà Nội;Friends;2019
800673;Hà Nội;Friends;2019
800687;Hà Nội;Friends;2019
800712;Hà Nội;Friends;2019
800715;Hà Nội;Friends;2019
800768;Hà Nội;Friends;2019
800853;Hà Nội;Friends;2019
800856;Hà Nội;Friends;2019
800858;Hà Nội;Friends;2019
800864;Hà Nội;Friends;2019
800865;Hà Nội;Friends;2019
800887;Hà Nội;Friends;2019
801071;Hà Nội;Friends;2019
801083;Hà Nội;Friends;2019
801087;Hà Nội;Friends;2019
801100;Hà Nội;Friends;2019
801102;Hà Nội;Friends;2019
801230;Hà Nội;Friends;2019
801263;Hà Nội;Friends;2019
801277;Hà Nội;Friends;2019
801291;Hà Nội;Friends;2019
801571;Hà Nội;Friends;2019
801651;Hà Nội;Friends;2019
802232;Hà Nội;Friends;2019
802412;Hà Nội;Friends;2019
802506;Hà Nội;Friends;2019
802537;Hà Nội;Friends;2019
802582;Hà Nội;Friends;2019
802658;Hà Nội;Friends;2019
802702;Hà Nội;Friends;2019
802709;Hà Nội;Friends;2019
802721;Hà Nội;Friends;2019
802787;Hà Nội;Friends;2019
802800;Hà Nội;Friends;2019
803092;Hà Nội;Friends;2019
803096;Hà Nội;Friends;2019
803101;Hà Nội;Friends;2019
803102;Hà Nội;Friends;2019
803106;Hà Nội;Friends;2019
803165;Hà Nội;Friends;2019
803191;Hà Nội;Friends;2019
803206;Hà Nội;Friends;2019
803216;Hà Nội;Friends;2019
803263;Hà Nội;Friends;2019
803267;Hà Nội;Friends;2019
803274;Hà Nội;Friends;2019
803413;Hà Nội;Friends;2019
803504;Hà Nội;Friends;2019
803624;Hà Nội;Friends;2019
803628;Hà Nội;Friends;2019
803638;Hà Nội;Friends;2019
803701;Hà Nội;Friends;2019
803793;Hà Nội;Friends;2019
803915;Hà Nội;Friends;2019
804174;Hà Nội;Friends;2019
804538;Hà Nội;Friends;2019
805039;Hà Nội;Friends;2019
805234;Hà Nội;Friends;2019
805281;Hà Nội;Friends;2019
805412;Hà Nội;Friends;2019
805479;Hà Nội;Friends;2019
805528;Hà Nội;Friends;2019
805622;Hà Nội;Friends;2019
805632;Hà Nội;Friends;2019
805639;Hà Nội;Friends;2019
805687;Hà Nội;Friends;2019
805746;Hà Nội;Friends;2019
805764;Hà Nội;Friends;2019
805885;Hà Nội;Friends;2019
805904;Hà Nội;Friends;2019
805960;Hà Nội;Friends;2019
805967;Hà Nội;Friends;2019
805980;Hà Nội;Friends;2019
806029;Hà Nội;Friends;2019
806057;Hà Nội;Friends;2019
806079;Hà Nội;Friends;2019
806101;Hà Nội;Friends;2019
806119;Hà Nội;Friends;2019
806136;Hà Nội;Friends;2019
806143;Hà Nội;Friends;2019
806179;Hà Nội;Friends;2019
806218;Hà Nội;Friends;2019
806337;Hà Nội;Friends;2019
806339;Hà Nội;Friends;2019
806343;Hà Nội;Friends;2019
806375;Hà Nội;Friends;2019
806463;Hà Nội;Friends;2019
806470;Hà Nội;Friends;2019
806517;Hà Nội;Friends;2019
806537;Hà Nội;Friends;2019
806641;Hà Nội;Friends;2019
806868;Hà Nội;Friends;2019
807358;Hà Nội;Friends;2019
807378;Hà Nội;Friends;2019
807477;Hà Nội;Friends;2019
807611;Hà Nội;Friends;2019
808010;Hà Nội;Friends;2019
808131;Hà Nội;Friends;2019
808216;Hà Nội;Friends;2019
808310;Hà Nội;Friends;2019
808494;Hà Nội;Friends;2019
808659;Hà Nội;Friends;2019
808665;Hà Nội;Friends;2019
808749;Hà Nội;Friends;2019
808769;Hà Nội;Friends;2019
808777;Hà Nội;Friends;2019
808794;Hà Nội;Friends;2019
808795;Hà Nội;Friends;2019
808964;Hà Nội;Friends;2019
809168;Hà Nội;Friends;2019
809169;Hà Nội;Friends;2019
809391;Hà Nội;Friends;2019
809406;Hà Nội;Friends;2019
809409;Hà Nội;Friends;2019
809611;Hà Nội;Friends;2019
809755;Hà Nội;Friends;2019
809758;Hà Nội;Friends;2019
809819;Hà Nội;Friends;2019
809884;Hà Nội;Friends;2019
809912;Hà Nội;Friends;2019
809928;Hà Nội;Friends;2019
809946;Hà Nội;Friends;2019
809949;Hà Nội;Friends;2019
809953;Hà Nội;Friends;2019
809956;Hà Nội;Friends;2019
809957;Hà Nội;Friends;2019
809963;Hà Nội;Friends;2019
810002;Hà Nội;Friends;2019
